character_name,equipment_set,wins,losses,winrate,is_boss
Fox,Flute,13,9,59.09090909090909,False
Fox,Freight,21,13,61.76470588235294,False
Fox,Grassland,13,9,59.09090909090909,False
Fox,KangTao,18,7,72.0,False
Fox,Liquidation,22,11,66.66666666666666,False
Fox,Militech,17,19,47.22222222222222,False
Fox,NUSA,13,11,54.166666666666664,False
Fox,Newspaper,12,14,46.15384615384615,False
Fox,OldRusty,16,15,51.61290322580645,False
Fox,Purplestar,23,11,67.64705882352942,False
Fox,Rainbow,14,12,53.84615384615385,False
Fox,Rose,21,12,63.63636363636363,False
Fox,Runic,15,17,46.875,False
Fox,Snowflake,18,8,69.23076923076923,False
Fox,Sovereign,13,8,61.904761904761905,False
Fox,Tigris,23,20,53.48837209302325,False
Fred,1987,16,10,61.53846153846154,False
Fred,7891,17,15,53.125,False
Fred,Arasaka,12,17,41.37931034482759,False
Fred,Bamboo,17,21,44.73684210526316,False
Fred,Cloud,16,19,45.714285714285715,False
Fred,Cosmic,13,13,50.0,False
Fred,Dawn,18,26,40.909090909090914,False
Fred,Flute,10,17,37.03703703703704,False
Fred,Freight,16,12,57.14285714285714,False
Fred,Grassland,16,21,43.24324324324324,False
Fred,KangTao,17,14,54.83870967741935,False
Fred,Liquidation,12,12,50.0,False
Fred,Militech,12,9,57.14285714285714,False
Fred,NUSA,10,9,52.63157894736842,False
Fred,Newspaper,13,11,54.166666666666664,False
Fred,OldRusty,16,21,43.24324324324324,False
Fred,Purplestar,18,20,47.368421052631575,False
Fred,Rainbow,13,12,52.0,False
Fred,Rose,17,16,51.515151515151516,False
Fred,Runic,15,11,57.692307692307686,False
Fred,Snowflake,15,21,41.66666666666667,False
Fred,Sovereign,11,23,32.35294117647059,False
Fred,Tigris,15,9,62.5,False
FreyaBP,1987,9,15,37.5,False
FreyaBP,7891,14,14,50.0,False
FreyaBP,Arasaka,20,11,64.51612903225806,False
FreyaBP,Bamboo,21,16,56.75675675675676,False
FreyaBP,Cloud,14,12,53.84615384615385,False
FreyaBP,Cosmic,13,15,46.42857142857143,False
FreyaBP,Dawn,15,17,46.875,False
FreyaBP,Flute,19,17,52.77777777777778,False
FreyaBP,Freight,13,14,48.148148148148145,False
FreyaBP,Grassland,17,15,53.125,False
FreyaBP,KangTao,21,14,60.0,False
FreyaBP,Liquidation,19,15,55.88235294117647,False
FreyaBP,Militech,18,14,56.25,False
FreyaBP,NUSA,23,12,65.71428571428571,False
FreyaBP,Newspaper,20,14,58.82352941176471,False
FreyaBP,OldRusty,13,19,40.625,False
FreyaBP,Purplestar,20,16,55.55555555555556,False
FreyaBP,Rainbow,16,15,51.61290322580645,False
FreyaBP,Rose,13,16,44.827586206896555,False
FreyaBP,Runic,23,16,58.97435897435898,False
FreyaBP,Snowflake,19,12,61.29032258064516,False
FreyaBP,Sovereign,21,15,58.333333333333336,False
FreyaBP,Tigris,13,21,38.23529411764706,False
FreyaSK,1987,15,14,51.724137931034484,False
FreyaSK,7891,13,11,54.166666666666664,False
FreyaSK,Arasaka,10,18,35.714285714285715,False
FreyaSK,Bamboo,14,22,38.88888888888889,False
FreyaSK,Cloud,22,19,53.65853658536586,False
FreyaSK,Cosmic,15,15,50.0,False
FreyaSK,Dawn,12,9,57.14285714285714,False
FreyaSK,Flute,10,14,41.66666666666667,False
FreyaSK,Freight,13,14,48.148148148148145,False
FreyaSK,Grassland,12,13,48.0,False
FreyaSK,KangTao,13,12,52.0,False
FreyaSK,Liquidation,15,21,41.66666666666667,False
FreyaSK,Militech,13,16,44.827586206896555,False
FreyaSK,NUSA,14,17,45.16129032258064,False
FreyaSK,Newspaper,16,12,57.14285714285714,False
FreyaSK,OldRusty,15,21,41.66666666666667,False
FreyaSK,Purplestar,12,15,44.44444444444444,False
FreyaSK,Rainbow,17,15,53.125,False
FreyaSK,Rose,12,19,38.70967741935484,False
FreyaSK,Runic,16,11,59.25925925925925,False
FreyaSK,Snowflake,12,16,42.857142857142854,False
FreyaSK,Sovereign,17,12,58.620689655172406,False
FreyaSK,Tigris,12,17,41.37931034482759,False
Freya,1987,11,18,37.93103448275862,False
Freya,7891,18,10,64.28571428571429,False
Freya,Arasaka,13,16,44.827586206896555,False
Freya,Bamboo,14,21,40.0,False
Freya,Cloud,15,23,39.473684210526315,False
Freya,Cosmic,10,16,38.46153846153847,False
Freya,Dawn,16,20,44.44444444444444,False
Freya,Flute,14,18,43.75,False
Freya,Freight,18,17,51.42857142857142,False
Freya,Grassland,24,12,66.66666666666666,False
Freya,KangTao,16,16,50.0,False
Freya,Liquidation,16,17,48.484848484848484,False
Freya,Militech,15,7,68.18181818181817,False
Freya,NUSA,17,17,50.0,False
Freya,Newspaper,18,15,54.54545454545454,False
Freya,OldRusty,16,21,43.24324324324324,False
Freya,Purplestar,14,16,46.666666666666664,False
Freya,Rainbow,15,16,48.38709677419355,False
Freya,Rose,8,21,27.586206896551722,False
Freya,Runic,14,16,46.666666666666664,False
Freya,Snowflake,15,17,46.875,False
Freya,Sovereign,14,17,45.16129032258064,False
Freya,Tigris,20,9,68.96551724137932,False
Gabe,1987,10,21,32.25806451612903,False
Gabe,7891,10,18,35.714285714285715,False
Gabe,Arasaka,14,19,42.42424242424242,False
Gabe,Bamboo,9,12,42.857142857142854,False
Gabe,Cloud,20,12,62.5,False
Gabe,Cosmic,10,14,41.66666666666667,False
Gabe,Dawn,16,12,57.14285714285714,False
Gabe,Flute,8,15,34.78260869565217,False
Gabe,Freight,14,13,51.85185185185185,False
Gabe,Grassland,19,14,57.57575757575758,False
